area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,type,locality,area,price_unit,region,status,age,owner,posted_date,images
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070.0,2.0,1.0,48.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Shampura,4 BHK,,2650.0,4.0,2.0,150.0,,,,,,,,,,,
Super built-up  Area,18-Aug,Konanakunte,4 BHK,Prasa W,3621.0,4.0,1.0,511.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,,1340.0,2.0,2.0,64.31,,,,,,,,,,,
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,Ammesss,1009.0,2.0,2.0,56.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1800.0,3.0,2.0,90.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1108.0,2.0,1.0,67.15,,,,,,,,,,,
Built-up  Area,Ready To Move,Kengeri,8 Bedroom,,3000.0,5.0,,130.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,,1890.0,4.0,2.0,100.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,Aconyit,1535.0,3.0,1.0,55.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kanakapura,3 BHK,SPavenc,1460.0,2.0,3.0,51.1,,,,,,,,,,,
Built-up  Area,Ready To Move,Old Madras Road,3 Bedroom,GRlas V,2300.0,3.0,2.0,142.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Panduranga Nagar,1 BHK,Jeshan ,500.0,1.0,0.0,20.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Srtusi ,1460.0,2.0,2.0,65.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Anandapura,3 Bedroom,,640.0,3.0,0.0,45.0,,,,,,,,,,,
Plot  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,,1100.0,2.0,0.0,68.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Vijaya Bank Colony,3 BHK,,1400.0,2.0,2.0,62.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,550.0,1.0,1.0,15.0,,,,,,,,,,,
Plot  Area,Ready To Move,Battarahalli,5 Bedroom,,1350.0,3.0,1.0,110.0,,,,,,,,,,,
Super built-up  Area,18-Aug,Uttarahalli,3 BHK,DSera S,1845.0,2.0,1.0,68.27,,,,,,,,,,,
Plot  Area,Ready To Move,8th Phase JP Nagar,6 Bedroom,,1200.0,6.0,1.0,260.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122.0,6.0,2.0,245.0,,,,,,,,,,,
Super built-up  Area,18-Jul,Haralur Road,2 BHK,SNnia E,1225.0,2.0,1.0,67.38,,,,,,,,,,,
Super built-up  Area,18-Jul,"TR Mill Road, Chamarajpet",2 BHK,,1175.0,2.0,2.0,79.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Samittv,2350.0,3.0,2.0,174.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410.0,2.0,3.0,54.99,,,,,,,,,,,
Super built-up  Area,18-Aug,Kudlu Gate,1 BHK,Sanzaat,703.0,1.0,1.0,52.0,,,,,,,,,,,
Super built-up  Area,17-Apr,Chikkalasandra,2 BHK,,1070.0,2.0,1.0,45.48,,,,,,,,,,,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1140.0,2.0,2.0,40.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur,3 BHK,Sondaka,1364.0,2.0,2.0,56.0,,,,,,,,,,,
Super built-up  Area,18-Dec,Whitefield,4 BHK,Goted U,2956.0,5.0,,234.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,,1045.0,2.0,2.0,55.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,S R Layout,2 BHK,Seasare,1096.0,2.0,2.0,48.0,,,,,,,,,,,
Plot  Area,Ready To Move,Kengeri Satellite Town ( BDA SITE),4 Bedroom,,1600.0,3.0,1.0,172.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,BrontLa,2210.0,3.0,3.0,165.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kengeri,3 BHK,,1160.0,2.0,2.0,40.6,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1800.0,3.0,2.0,175.0,,,,,,,,,,,
Super built-up  Area,18-Mar,Chandapura,1 BHK,Siissi ,530.0,1.0,0.0,11.66,,,,,,,,,,,
Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,Vestas ,1855.0,3.0,3.0,96.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Whitefield,3 BHK,Sonviik,1495.0,2.0,,70.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Golmsn ,1835.0,3.0,3.0,89.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,Skacak ,1268.0,2.0,1.0,73.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Raghuvanahalli,1 BHK,,900.0,1.0,1.0,30.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1252.0,3.0,2.0,59.0,,,,,,,,,,,
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020.0,2.0,1.0,30.6,,,,,,,,,,,
Super built-up  Area,18-Mar,Bommasandra,2 BHK,SSestth,955.0,2.0,1.0,35.28,,,,,,,,,,,
Super built-up  Area,18-Jan,Hosa Road,2 BHK,SRrnauv,840.0,2.0,1.0,28.0,,,,,,,,,,,
Super built-up  Area,19-Jun,Byrasandra,2 BHK,Sancy R,985.0,2.0,1.0,63.0,,,,,,,,,,,
Super built-up  Area,18-Apr,Sarjapur  Road,2 BHK,PualeSk,1370.0,2.0,1.0,70.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Sarjapur,4 BHK,,1917.0,3.0,0.0,60.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,ArrdsOr,1000.0,2.0,1.0,60.0,,,,,,,,,,,
Plot  Area,18-Dec,Channasandra,2 Bedroom,,3040.0,2.0,1.0,48.0,,,,,,,,,,,
,,Indiranagar,2 BHK,,1200.0,1.0,,50.0,,,,,,,,,XYZ,2025-11-19,uploaded
Villa,Ready To Move,Koramangala,2BHK,HOP Society,1200.0,3.0,2.0,57.0,2.0,Not Available,Near Fresh mart,sector 1,Lakhs,abc,complete,2.0,XYZ,2025-11-19,
Villa,Ready To Move,Whitefield,2BHK,ABC,1200.0,2.0,1.0,50.0,2.0,Not Available,AECS,sector 1,Lakhs,,,,,2025-11-19,
